month,season,species,density
Jun-16,Summer,h,0
Jun-16,Summer,h,0
Jun-16,Summer,h,16
Jun-16,Summer,h,24
Jun-16,Summer,h,12
Jun-16,Summer,h,20
Jun-16,Summer,h,12
Jun-16,Summer,h,0
Jun-16,Summer,h,0
Jun-16,Summer,h,0
Jun-16,Summer,h,12
Jun-16,Summer,h,0
Jun-16,Summer,h,0
Jun-16,Summer,h,4
Jul-16,Summer,h,8
Jul-16,Summer,h,0
Jul-16,Summer,h,16
Jul-16,Summer,h,20
Jul-16,Summer,h,4
Jul-16,Summer,h,4
Jul-16,Summer,h,0
Jul-16,Summer,h,16
Jul-16,Summer,h,8
Jul-16,Summer,h,0
Jul-16,Summer,h,8
Jul-16,Summer,h,8
Oct-16,Autumn,h,4
Oct-16,Autumn,h,24
Oct-16,Autumn,h,24
Oct-16,Autumn,h,12
Oct-16,Autumn,h,16
Oct-16,Autumn,h,20
Oct-16,Autumn,h,20
Oct-16,Autumn,h,16
Oct-16,Autumn,h,12
Oct-16,Autumn,h,8
Oct-16,Autumn,h,4
Oct-16,Autumn,h,24
Oct-16,Autumn,h,12
Jan-16,Winter,h,12
Jan-16,Winter,h,0
Jan-16,Winter,h,12
Jan-16,Winter,h,16
Jan-16,Winter,h,20
Jan-16,Winter,h,12
Jan-16,Winter,h,4
Jan-16,Winter,h,8
Jan-16,Winter,h,16
Jan-16,Winter,h,8
Jan-16,Winter,h,4
Jan-16,Winter,h,8
Jan-16,Winter,h,12
Jan-16,Winter,h,12
Mar-17,Spring,h,0
Mar-17,Spring,h,0
Mar-17,Spring,h,12
Mar-17,Spring,h,8
Mar-17,Spring,h,16
Mar-17,Spring,h,0
Mar-17,Spring,h,16
Mar-17,Spring,h,16
Mar-17,Spring,h,12
Mar-17,Spring,h,24
Mar-17,Spring,h,16
Mar-17,Spring,h,12
Mar-17,Spring,h,16
Mar-17,Spring,h,16
Mar-17,Spring,h,8
Mar-17,Spring,h,16
Mar-17,Spring,h,0
Mar-17,Spring,h,20
Mar-17,Spring,h,8
Mar-17,Spring,h,16
Jun-16,Summer,o,12
Jun-16,Summer,o,8
Jun-16,Summer,o,0
Jun-16,Summer,o,0
Jun-16,Summer,o,12
Jun-16,Summer,o,8
Jun-16,Summer,o,8
Jun-16,Summer,o,0
Jun-16,Summer,o,0
Jun-16,Summer,o,0
Jun-16,Summer,o,0
Jun-16,Summer,o,0
Jun-16,Summer,o,16
Jun-16,Summer,o,0
Jul-16,Summer,o,8
Jul-16,Summer,o,12
Jul-16,Summer,o,8
Jul-16,Summer,o,0
Jul-16,Summer,o,16
Jul-16,Summer,o,4
Jul-16,Summer,o,4
Jul-16,Summer,o,4
Jul-16,Summer,o,0
Jul-16,Summer,o,12
Jul-16,Summer,o,8
Jul-16,Summer,o,0
Oct-16,Autumn,o,4
Oct-16,Autumn,o,0
Oct-16,Autumn,o,0
Oct-16,Autumn,o,12
Oct-16,Autumn,o,0
Oct-16,Autumn,o,16
Oct-16,Autumn,o,0
Oct-16,Autumn,o,8
Oct-16,Autumn,o,8
Oct-16,Autumn,o,20
Oct-16,Autumn,o,12
Oct-16,Autumn,o,4
Oct-16,Autumn,o,0
Jan-16,Winter,o,4
Jan-16,Winter,o,8
Jan-16,Winter,o,0
Jan-16,Winter,o,0
Jan-16,Winter,o,0
Jan-16,Winter,o,4
Jan-16,Winter,o,8
Jan-16,Winter,o,4
Jan-16,Winter,o,0
Jan-16,Winter,o,8
Jan-16,Winter,o,4
Jan-16,Winter,o,0
Jan-16,Winter,o,8
Jan-16,Winter,o,4
Mar-17,Spring,o,4
Mar-17,Spring,o,12
Mar-17,Spring,o,0
Mar-17,Spring,o,12
Mar-17,Spring,o,0
Mar-17,Spring,o,8
Mar-17,Spring,o,0
Mar-17,Spring,o,4
Mar-17,Spring,o,0
Mar-17,Spring,o,0
Mar-17,Spring,o,4
Mar-17,Spring,o,8
Mar-17,Spring,o,0
Mar-17,Spring,o,4
Mar-17,Spring,o,0
Mar-17,Spring,o,4
Mar-17,Spring,o,0
Mar-17,Spring,o,0
Mar-17,Spring,o,4
Mar-17,Spring,o,0
Jun-16,Summer,d,0
Jun-16,Summer,d,0
Jun-16,Summer,d,0
Jun-16,Summer,d,0
Jun-16,Summer,d,0
Jun-16,Summer,d,0
Jun-16,Summer,d,0
Jun-16,Summer,d,8
Jun-16,Summer,d,16
Jun-16,Summer,d,20
Jun-16,Summer,d,16
Jun-16,Summer,d,20
Jun-16,Summer,d,0
Jun-16,Summer,d,8
Jul-16,Summer,d,12
Jul-16,Summer,d,16
Jul-16,Summer,d,32
Jul-16,Summer,d,8
Jul-16,Summer,d,20
Jul-16,Summer,d,24
Jul-16,Summer,d,32
Jul-16,Summer,d,16
Jul-16,Summer,d,20
Jul-16,Summer,d,16
Jul-16,Summer,d,8
Jul-16,Summer,d,12
Jul-16,Summer,d,20
Oct-16,Autumn,d,16
Oct-16,Autumn,d,36
Oct-16,Autumn,d,32
Oct-16,Autumn,d,52
Oct-16,Autumn,d,28
Oct-16,Autumn,d,44
Oct-16,Autumn,d,24
Oct-16,Autumn,d,44
Oct-16,Autumn,d,24
Oct-16,Autumn,d,44
Oct-16,Autumn,d,32
Oct-16,Autumn,d,28
Oct-16,Autumn,d,36
Oct-16,Autumn,d,24
Oct-16,Autumn,d,28
Jan-16,Winter,d,0
Jan-16,Winter,d,4
Jan-16,Winter,d,44
Jan-16,Winter,d,28
Jan-16,Winter,d,32
Jan-16,Winter,d,8
Jan-16,Winter,d,24
Jan-16,Winter,d,12
Jan-16,Winter,d,52
Jan-16,Winter,d,20
Jan-16,Winter,d,20
Jan-16,Winter,d,20
Jan-16,Winter,d,32
Mar-17,Spring,d,64
Mar-17,Spring,d,24
Mar-17,Spring,d,28
Mar-17,Spring,d,24
Mar-17,Spring,d,20
Mar-17,Spring,d,12
Mar-17,Spring,d,4
Mar-17,Spring,d,40
Mar-17,Spring,d,68
Mar-17,Spring,d,44
Mar-17,Spring,d,16
Mar-17,Spring,d,24
Mar-17,Spring,d,20
Mar-17,Spring,d,12
Mar-17,Spring,d,24
Mar-17,Spring,d,16
Mar-17,Spring,d,24
Mar-17,Spring,d,68
Mar-17,Spring,d,36
Mar-17,Spring,d,8